season_week,QB_points,WR1_points,WR2_points,WR3_points,RB1_points,RB2_points,TE_points,W/R/T_points,DEF_points,BN1_points,BN2_points,BN3_points,BN4_points,BN5_points,BN6_points,BN7_points,W/R/T position,WR_total_points,RB_total_points,TE_total_points,BN_points,manager,win,points_for
Michael|2017|8,12.03,2.7,8.9,0.0,8.3,9.0,5.3,20.8,19.5,0.0,3.4,6.8,0.0,0.0,0.0,0.0,RB,11.600000000000001,38.1,5.3,10.2,Michael,0,91.03
Michael|2017|9,16.67,14.8,6.9,0.0,8.1,1.3,3.0,10.6,21.0,1.2,0.0,5.0,1.1,5.0,0.0,0.0,RB,21.700000000000003,20.0,3.0,12.3,Michael,0,84.37
Michael|2017|10,13.0,8.7,7.7,0.0,6.0,7.9,9.7,5.3,13.5,0.0,0.0,12.5,3.4,2.7,0.0,0.0,RB,16.4,19.2,9.7,18.6,Michael,0,72.3
Michael|2017|11,6.37,9.6,0.3,0.0,15.3,9.2,8.2,9.1,13.0,0.0,7.4,10.6,2.1,8.5,0.0,0.0,RB,9.9,33.6,8.2,28.6,Michael,0,80.07
Michael|2017|12,12.13,44.8,15.6,0.0,3.1,5.4,0.0,12.3,18.0,10.7,3.7,1.2,5.8,18.5,0.0,0.0,RB,60.4,20.8,0.0,39.9,Michael,1,116.33
Michael|2017|13,28.93,3.4,9.3,0.0,18.7,11.4,2.5,7.8,9.5,35.2,23.6,1.7,13.0,8.5,0.0,0.0,RB,12.700000000000001,37.9,2.5,82.0,Michael,0,95.03
Jake|2017|1,25.13,9.2,6.2,0.0,10.9,18.9,15.4,9.6,17.0,2.5,0.0,7.8,0.0,1.3,0.0,0.0,RB,15.399999999999999,39.4,15.4,11.600000000000001,Jake,1,117.33
Jake|2017|2,12.37,10.1,19.9,0.0,23.0,13.1,20.7,9.6,6.0,4.7,3.9,9.3,8.8,18.6,0.0,0.0,RB,30.0,45.7,20.7,45.3,Jake,1,120.27
Jake|2017|3,14.7,12.8,7.5,0.0,21.3,15.5,0.8,5.3,14.5,9.6,6.9,12.9,9.7,11.2,0.0,0.0,RB,20.3,42.099999999999994,0.8,50.3,Jake,1,107.4
Jake|2017|4,6.67,1.6,8.3,0.0,14.8,22.5,1.4,8.2,18.0,7.4,2.3,4.4,14.5,6.8,0.0,0.0,RB,9.9,45.5,1.4,35.4,Jake,1,87.47
