week,team_name,in_season_manager_id,manager_name,opponent_team_name,in_season_opponent_manager_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season,win
12,Kurtz' Horror,14,Jones,The fishingtons,10,Buddy,105.78,68.27,111.83,82.4,2015,0
13,Kurtz' Horror,14,Jones,Starr is Born,12,Nick,103.47,82.57,113.92,106.93,2015,0
14,Kurtz' Horror,14,Jones,Immortal Duffmen,11,Pat,90.71,83.57,104.58,85.53,2015,0
15,Kurtz' Horror,14,Jones,Thunder Crotches,7,Jake,104.62,94.0,95.99,127.77,2015,0
1,The Ice Cold Bruschi,1,Ricky,Immortal Duffmen,2,Pat,104.46,108.7,108.96,109.13,2016,0
2,The Ice Cold Bruschi,1,Ricky,Jadeveon's Hit Men,3,Tim,102.09,114.63,110.44,83.57,2016,1
3,The Ice Cold Bruschi,1,Ricky,John Brown's Army,4,Eric,105.25,125.93,92.19,81.57,2016,1
4,The Ice Cold Bruschi,1,Ricky,The Twelve Apostles,5,Jones,100.27,109.63,102.17,85.3,2016,1
5,The Ice Cold Bruschi,1,Ricky,SuperCam That Ho,6,Lauren,99.08,128.73,89.9,75.1,2016,1
6,The Ice Cold Bruschi,1,Ricky,Starr is Born,7,Nick,100.08,112.63,105.03,92.27,2016,1
7,The Ice Cold Bruschi,1,Ricky,The fishingtons,8,Buddy,102.35,94.4,106.0,114.07,2016,0
8,The Ice Cold Bruschi,1,Ricky,The Scientist,9,Kyle,102.47,90.3,85.21,110.5,2016,0
9,The Ice Cold Bruschi,1,Ricky,Thug Bungalow,10,Michael,115.74,138.17,101.2,120.9,2016,1
10,The Ice Cold Bruschi,1,Ricky,Thunder Crotches,11,Jake,104.22,137.33,95.3,82.8,2016,1
11,The Ice Cold Bruschi,1,Ricky,Victor Cruisin,12,Frags,107.04,125.83,92.04,78.5,2016,1
12,The Ice Cold Bruschi,1,Ricky,who invited canada,13,Peter,106.11,138.43,104.38,140.27,2016,0
13,The Ice Cold Bruschi,1,Ricky,We're Back,14,Nate,105.42,82.97,75.03,83.07,2016,0
14,The Ice Cold Bruschi,1,Ricky,We're Back,14,Nate,105.36,87.43,92.89,91.2,2016,0
15,The Ice Cold Bruschi,1,Ricky,who invited canada,13,Peter,109.27,88.97,107.74,102.3,2016,0
1,Immortal Duffmen,2,Pat,The Ice Cold Bruschi,1,Ricky,108.96,109.13,104.46,108.7,2016,1
2,Immortal Duffmen,2,Pat,We're Back,14,Nate,106.39,126.0,102.65,119.03,2016,1
3,Immortal Duffmen,2,Pat,Jadeveon's Hit Men,3,Tim,115.66,105.13,113.08,86.1,2016,1
4,Immortal Duffmen,2,Pat,John Brown's Army,4,Eric,100.93,88.67,79.01,52.7,2016,1
5,Immortal Duffmen,2,Pat,The Twelve Apostles,5,Jones,112.1,121.73,101.46,120.57,2016,1
6,Immortal Duffmen,2,Pat,SuperCam That Ho,6,Lauren,96.13,50.9,89.18,90.23,2016,0
7,Immortal Duffmen,2,Pat,Starr is Born,7,Nick,92.97,115.47,102.0,84.33,2016,1
8,Immortal Duffmen,2,Pat,The fishingtons,8,Buddy,101.71,121.5,98.95,138.0,2016,0
9,Immortal Duffmen,2,Pat,The Scientist,9,Kyle,111.78,97.7,105.45,98.67,2016,0
10,Immortal Duffmen,2,Pat,Thug Bungalow,10,Michael,95.74,85.47,94.78,104.5,2016,0
11,Immortal Duffmen,2,Pat,Thunder Crotches,11,Jake,93.13,97.0,96.53,83.3,2016,1
12,Immortal Duffmen,2,Pat,Victor Cruisin,12,Frags,100.63,80.73,94.67,96.23,2016,0
13,Immortal Duffmen,2,Pat,who invited canada,13,Peter,101.9,93.47,114.04,102.43,2016,0
15,Immortal Duffmen,2,Pat,Thug Bungalow,10,Michael,74.93,52.3,91.43,100.47,2016,0
16,Immortal Duffmen,2,Pat,Thunder Crotches,11,Jake,79.04,86.17,91.18,81.03,2016,1
1,Jadeveon's Hit Men,3,Tim,who invited canada,13,Peter,103.99,122.1,100.46,100.07,2016,1
2,Jadeveon's Hit Men,3,Tim,The Ice Cold Bruschi,1,Ricky,110.44,83.57,102.09,114.63,2016,0
3,Jadeveon's Hit Men,3,Tim,Immortal Duffmen,2,Pat,113.08,86.1,115.66,105.13,2016,0
4,Jadeveon's Hit Men,3,Tim,We're Back,14,Nate,100.15,108.2,103.13,74.3,2016,1
5,Jadeveon's Hit Men,3,Tim,John Brown's Army,4,Eric,106.54,77.1,49.87,21.7,2016,1
6,Jadeveon's Hit Men,3,Tim,The Twelve Apostles,5,Jones,103.74,70.7,93.51,144.5,2016,0
7,Jadeveon's Hit Men,3,Tim,SuperCam That Ho,6,Lauren,88.15,92.2,89.17,96.97,2016,0
8,Jadeveon's Hit Men,3,Tim,Starr is Born,7,Nick,91.57,100.0,108.34,106.53,2016,0
9,Jadeveon's Hit Men,3,Tim,The fishingtons,8,Buddy,96.48,73.07,101.23,101.73,2016,0
10,Jadeveon's Hit Men,3,Tim,The Scientist,9,Kyle,82.57,75.6,101.92,119.17,2016,0
11,Jadeveon's Hit Men,3,Tim,Thug Bungalow,10,Michael,93.8,81.27,88.68,76.83,2016,1
12,Jadeveon's Hit Men,3,Tim,Thunder Crotches,11,Jake,98.17,78.23,103.86,101.63,2016,0
13,Jadeveon's Hit Men,3,Tim,Victor Cruisin,12,Frags,92.03,77.33,92.57,93.57,2016,0
1,John Brown's Army,4,Eric,Victor Cruisin,12,Frags,97.58,100.53,82.04,106.5,2016,0
2,John Brown's Army,4,Eric,who invited canada,13,Peter,104.83,71.03,101.12,97.87,2016,0
3,John Brown's Army,4,Eric,The Ice Cold Bruschi,1,Ricky,92.19,81.57,105.25,125.93,2016,0
4,John Brown's Army,4,Eric,Immortal Duffmen,2,Pat,79.01,52.7,100.93,88.67,2016,0
5,John Brown's Army,4,Eric,Jadeveon's Hit Men,3,Tim,49.87,21.7,106.54,77.1,2016,0
6,John Brown's Army,4,Eric,We're Back,14,Nate,63.44,45.3,101.4,80.17,2016,0
7,John Brown's Army,4,Eric,The Twelve Apostles,5,Jones,61.65,67.3,96.18,108.23,2016,0
8,John Brown's Army,4,Eric,SuperCam That Ho,6,Lauren,55.19,54.5,75.75,89.77,2016,0
9,John Brown's Army,4,Eric,Starr is Born,7,Nick,29.22,30.2,97.62,99.57,2016,0
10,John Brown's Army,4,Eric,The fishingtons,8,Buddy,56.68,45.93,97.38,103.0,2016,0
11,John Brown's Army,4,Eric,The Scientist,9,Kyle,58.04,44.8,105.1,129.33,2016,0
12,John Brown's Army,4,Eric,Thug Bungalow,10,Michael,60.9,39.63,97.01,83.07,2016,0
13,John Brown's Army,4,Eric,Thunder Crotches,11,Jake,70.76,54.2,99.62,70.17,2016,0
1,The Twelve Apostles,5,Jones,Thunder Crotches,11,Jake,101.67,94.0,99.61,122.0,2016,0
2,The Twelve Apostles,5,Jones,Victor Cruisin,12,Frags,99.82,112.73,87.94,93.97,2016,1
3,The Twelve Apostles,5,Jones,who invited canada,13,Peter,106.03,95.87,102.58,116.87,2016,0
4,The Twelve Apostles,5,Jones,The Ice Cold Bruschi,1,Ricky,102.17,85.3,100.27,109.63,2016,0
5,The Twelve Apostles,5,Jones,Immortal Duffmen,2,Pat,101.46,120.57,112.1,121.73,2016,0
6,The Twelve Apostles,5,Jones,Jadeveon's Hit Men,3,Tim,93.51,144.5,103.74,70.7,2016,1
7,The Twelve Apostles,5,Jones,John Brown's Army,4,Eric,96.18,108.23,61.65,67.3,2016,1
8,The Twelve Apostles,5,Jones,We're Back,14,Nate,84.46,93.9,80.05,57.47,2016,1
9,The Twelve Apostles,5,Jones,SuperCam That Ho,6,Lauren,76.86,78.43,95.84,116.9,2016,0
10,The Twelve Apostles,5,Jones,Starr is Born,7,Nick,100.56,94.33,96.03,90.13,2016,1
11,The Twelve Apostles,5,Jones,The fishingtons,8,Buddy,92.05,101.47,104.12,102.03,2016,0
12,The Twelve Apostles,5,Jones,The Scientist,9,Kyle,87.08,99.63,114.83,109.77,2016,0
13,The Twelve Apostles,5,Jones,Thug Bungalow,10,Michael,83.81,112.23,88.85,69.9,2016,1
14,The Twelve Apostles,5,Jones,Thug Bungalow,10,Michael,94.16,46.53,83.39,58.27,2016,0
15,The Twelve Apostles,5,Jones,Starr is Born,7,Nick,89.73,68.53,99.99,108.1,2016,0
1,SuperCam That Ho,6,Lauren,Thug Bungalow,10,Michael,100.07,94.07,104.23,82.0,2016,1
2,SuperCam That Ho,6,Lauren,Thunder Crotches,11,Jake,100.21,132.67,97.2,113.4,2016,1
3,SuperCam That Ho,6,Lauren,Victor Cruisin,12,Frags,94.78,91.93,90.02,143.03,2016,0
4,SuperCam That Ho,6,Lauren,who invited canada,13,Peter,95.64,87.6,90.58,86.1,2016,1
5,SuperCam That Ho,6,Lauren,The Ice Cold Bruschi,1,Ricky,89.9,75.1,99.08,128.73,2016,0
6,SuperCam That Ho,6,Lauren,Immortal Duffmen,2,Pat,89.18,90.23,96.13,50.9,2016,1
7,SuperCam That Ho,6,Lauren,Jadeveon's Hit Men,3,Tim,89.17,96.97,88.15,92.2,2016,1
8,SuperCam That Ho,6,Lauren,John Brown's Army,4,Eric,75.75,89.77,55.19,54.5,2016,1
9,SuperCam That Ho,6,Lauren,The Twelve Apostles,5,Jones,95.84,116.9,76.86,78.43,2016,1
10,SuperCam That Ho,6,Lauren,We're Back,14,Nate,87.81,88.8,88.48,95.13,2016,0
11,SuperCam That Ho,6,Lauren,Starr is Born,7,Nick,99.46,86.0,91.31,76.83,2016,1
12,SuperCam That Ho,6,Lauren,The fishingtons,8,Buddy,89.87,90.1,107.37,74.87,2016,1
13,SuperCam That Ho,6,Lauren,The Scientist,9,Kyle,85.53,100.77,106.72,103.07,2016,0
15,SuperCam That Ho,6,Lauren,The Scientist,9,Kyle,89.28,96.3,109.82,91.83,2016,1
16,SuperCam That Ho,6,Lauren,The fishingtons,8,Buddy,89.29,72.7,107.31,89.83,2016,0
1,Starr is Born,7,Nick,The Scientist,9,Kyle,101.19,116.4,90.69,97.63,2016,1
2,Starr is Born,7,Nick,Thug Bungalow,10,Michael,104.18,59.47,105.06,117.73,2016,0
3,Starr is Born,7,Nick,Thunder Crotches,11,Jake,99.37,95.37,96.14,90.67,2016,1
4,Starr is Born,7,Nick,Victor Cruisin,12,Frags,97.94,113.1,98.68,67.3,2016,1
5,Starr is Born,7,Nick,who invited canada,13,Peter,89.77,109.13,94.73,90.77,2016,1
6,Starr is Born,7,Nick,The Ice Cold Bruschi,1,Ricky,105.03,92.27,100.08,112.63,2016,0
7,Starr is Born,7,Nick,Immortal Duffmen,2,Pat,102.0,84.33,92.97,115.47,2016,0
8,Starr is Born,7,Nick,Jadeveon's Hit Men,3,Tim,108.34,106.53,91.57,100.0,2016,1
9,Starr is Born,7,Nick,John Brown's Army,4,Eric,97.62,99.57,29.22,30.2,2016,1
10,Starr is Born,7,Nick,The Twelve Apostles,5,Jones,96.03,90.13,100.56,94.33,2016,0
11,Starr is Born,7,Nick,SuperCam That Ho,6,Lauren,91.31,76.83,99.46,86.0,2016,0
12,Starr is Born,7,Nick,We're Back,14,Nate,88.35,121.0,102.88,78.67,2016,1
13,Starr is Born,7,Nick,The fishingtons,8,Buddy,89.31,86.63,104.45,105.77,2016,0
