week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season
14,b'Starr is Born',12,--hidden--,b'The Scientist',9,--hidden--,121.99,135.03,105.34,111.7,2015
15,b'Starr is Born',12,--hidden--,b'who invited canada',2,--hidden--,110.02,114.93,113.1,104.4,2015
16,b'Starr is Born',12,--hidden--,b'Thug Bungalow',5,--hidden--,108.18,105.43,103.23,104.63,2015
1,b'Victor Cruisin',13,--hidden--,"b""Kurtz' Horror""",14,--hidden--,95.98,79.93,102.78,87.93,2015
2,b'Victor Cruisin',13,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,97.39,115.2,98.45,101.43,2015
3,b'Victor Cruisin',13,--hidden--,b'Thug Bungalow',5,--hidden--,107.66,138.6,101.03,165.5,2015
4,b'Victor Cruisin',13,--hidden--,b'Immortal Duffmen',11,--hidden--,98.88,114.63,100.16,107.07,2015
5,b'Victor Cruisin',13,--hidden--,b'The Scientist',9,--hidden--,78.67,101.93,96.25,136.13,2015
6,b'Victor Cruisin',13,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,104.49,112.57,113.97,118.4,2015
7,b'Victor Cruisin',13,--hidden--,b'Thunder Crotches',7,--hidden--,112.61,114.87,102.33,98.0,2015
8,b'Victor Cruisin',13,--hidden--,b'Immortal Duffmen',11,--hidden--,103.2,64.87,100.13,84.87,2015
9,b'Victor Cruisin',13,--hidden--,b'Thug Bungalow',5,--hidden--,67.06,75.0,107.53,120.5,2015
10,b'Victor Cruisin',13,--hidden--,b'Thunder Crotches',7,--hidden--,98.14,98.8,98.29,86.07,2015
11,b'Victor Cruisin',13,--hidden--,b'The Scientist',9,--hidden--,80.36,92.43,104.17,52.73,2015
12,b'Victor Cruisin',13,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,92.29,76.57,95.2,100.9,2015
13,b'Victor Cruisin',13,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,99.55,102.63,90.29,109.13,2015
14,b'Victor Cruisin',13,--hidden--,b'Thunder Crotches',7,--hidden--,95.69,121.6,93.83,87.77,2015
15,b'Victor Cruisin',13,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,91.8,115.4,98.37,113.97,2015
16,b'Victor Cruisin',13,--hidden--,b'The Dirty Diapers',4,--hidden--,90.83,129.8,92.63,101.23,2015
1,"b""Kurtz' Horror""",14,--hidden--,b'Victor Cruisin',13,--hidden--,102.78,87.93,95.98,79.93,2015
2,"b""Kurtz' Horror""",14,--hidden--,b'The Dirty Diapers',4,--hidden--,91.12,90.8,102.92,65.9,2015
