week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against
10,b'The fishingtons',8,--hidden--,"b""John Brown's Army""",4,--hidden--,110.88,110.22,149.37,136.84
11,b'The fishingtons',8,--hidden--,b'Saquon These Nuts',5,--hidden--,120.5,172.54,122.02,83.94
12,b'The fishingtons',8,--hidden--,b'Starr is Born',6,--hidden--,131.13,161.86,123.28,148.16
13,b'The fishingtons',8,--hidden--,b'SuperCam That Ho',7,--hidden--,124.04,145.08,109.43,115.1
14,b'The fishingtons',8,--hidden--,"b""We're Back""",13,--hidden--,139.19,136.2,150.06,124.48
15,b'The fishingtons',8,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,132.93,130.02,146.36,126.62
16,b'The fishingtons',8,--hidden--,b'Starr is Born',6,--hidden--,135.99,123.14,143.93,140.78
1,b'The Scientist',9,--hidden--,b'SuperCam That Ho',7,--hidden--,126.25,64.7,134.61,93.86
2,b'The Scientist',9,--hidden--,b'The fishingtons',8,--hidden--,135.6,133.5,138.73,120.26
3,b'The Scientist',9,--hidden--,b'who invited canada',14,--hidden--,132.87,116.1,125.26,163.42
4,b'The Scientist',9,--hidden--,b'The Twelve Apostles',10,--hidden--,124.11,102.98,136.79,139.7
5,b'The Scientist',9,--hidden--,b'Thug Bungalow',11,--hidden--,116.55,110.9,130.15,144.48
6,b'The Scientist',9,--hidden--,b'Thunder Crotches',12,--hidden--,114.02,99.06,112.81,83.62
7,b'The Scientist',9,--hidden--,"b""We're Back""",13,--hidden--,128.07,119.52,122.72,105.52
8,b'The Scientist',9,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,124.65,164.82,139.06,165.66
9,b'The Scientist',9,--hidden--,b'Immortal Duffmen',2,--hidden--,125.91,134.12,122.47,90.36
10,b'The Scientist',9,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,129.0,127.18,124.37,136.52
11,b'The Scientist',9,--hidden--,"b""John Brown's Army""",4,--hidden--,118.18,143.82,146.26,130.78
12,b'The Scientist',9,--hidden--,b'Saquon These Nuts',5,--hidden--,125.97,86.84,117.68,107.5
13,b'The Scientist',9,--hidden--,b'Starr is Born',6,--hidden--,136.6,102.06,135.85,114.26
14,b'The Scientist',9,--hidden--,b'Thug Bungalow',11,--hidden--,124.3,114.36,138.4,122.1
15,b'The Scientist',9,--hidden--,b'SuperCam That Ho',7,--hidden--,106.16,114.48,120.6,124.2
1,b'The Twelve Apostles',10,--hidden--,b'Starr is Born',6,--hidden--,138.04,141.9,132.57,164.24
2,b'The Twelve Apostles',10,--hidden--,b'SuperCam That Ho',7,--hidden--,140.06,143.5,119.94,87.82
3,b'The Twelve Apostles',10,--hidden--,b'The fishingtons',8,--hidden--,134.98,133.14,134.63,129.8
4,b'The Twelve Apostles',10,--hidden--,b'The Scientist',9,--hidden--,136.79,139.7,124.11,102.98
5,b'The Twelve Apostles',10,--hidden--,b'who invited canada',14,--hidden--,124.71,166.22,122.31,137.34
6,b'The Twelve Apostles',10,--hidden--,b'Thug Bungalow',11,--hidden--,135.24,128.3,130.4,107.14
7,b'The Twelve Apostles',10,--hidden--,b'Thunder Crotches',12,--hidden--,134.85,121.54,112.54,115.56
8,b'The Twelve Apostles',10,--hidden--,"b""We're Back""",13,--hidden--,142.85,145.18,137.15,126.28
9,b'The Twelve Apostles',10,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,119.33,158.12,148.8,121.0
10,b'The Twelve Apostles',10,--hidden--,b'Immortal Duffmen',2,--hidden--,137.41,152.48,119.13,91.78
11,b'The Twelve Apostles',10,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,95.7,112.62,135.75,91.36
12,b'The Twelve Apostles',10,--hidden--,"b""John Brown's Army""",4,--hidden--,142.86,103.5,129.02,101.5
13,b'The Twelve Apostles',10,--hidden--,b'Saquon These Nuts',5,--hidden--,138.42,116.3,127.92,93.54
15,b'The Twelve Apostles',10,--hidden--,b'Starr is Born',6,--hidden--,141.44,129.54,134.22,136.86
16,b'The Twelve Apostles',10,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,135.9,157.96,139.2,113.96
1,b'Thug Bungalow',11,--hidden--,b'Saquon These Nuts',5,--hidden--,141.33,146.92,137.37,161.64
2,b'Thug Bungalow',11,--hidden--,b'Starr is Born',6,--hidden--,143.26,137.94,132.81,97.0
3,b'Thug Bungalow',11,--hidden--,b'SuperCam That Ho',7,--hidden--,134.15,143.46,121.02,115.78
4,b'Thug Bungalow',11,--hidden--,b'The fishingtons',8,--hidden--,141.95,94.6,137.09,105.68
5,b'Thug Bungalow',11,--hidden--,b'The Scientist',9,--hidden--,130.15,144.48,116.55,110.9
6,b'Thug Bungalow',11,--hidden--,b'The Twelve Apostles',10,--hidden--,130.4,107.14,135.24,128.3
7,b'Thug Bungalow',11,--hidden--,b'who invited canada',14,--hidden--,119.71,85.24,132.51,101.16
8,b'Thug Bungalow',11,--hidden--,b'Thunder Crotches',12,--hidden--,116.47,99.38,101.06,125.9
9,b'Thug Bungalow',11,--hidden--,"b""We're Back""",13,--hidden--,115.32,100.26,139.74,142.0
10,b'Thug Bungalow',11,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,135.29,168.12,142.54,109.42
11,b'Thug Bungalow',11,--hidden--,b'Immortal Duffmen',2,--hidden--,131.38,118.96,131.66,126.74
12,b'Thug Bungalow',11,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,133.02,120.44,136.0,141.02
13,b'Thug Bungalow',11,--hidden--,"b""John Brown's Army""",4,--hidden--,140.58,155.9,145.52,131.1
14,b'Thug Bungalow',11,--hidden--,b'The Scientist',9,--hidden--,138.4,122.1,124.3,114.36
15,b'Thug Bungalow',11,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,141.77,106.74,150.18,168.98
16,b'Thug Bungalow',11,--hidden--,b'Saquon These Nuts',5,--hidden--,135.42,132.06,85.82,74.94
1,b'Thunder Crotches',12,--hidden--,"b""John Brown's Army""",4,--hidden--,139.15,140.8,134.37,174.72
2,b'Thunder Crotches',12,--hidden--,b'Saquon These Nuts',5,--hidden--,138.28,70.82,142.69,146.76
3,b'Thunder Crotches',12,--hidden--,b'Starr is Born',6,--hidden--,135.24,159.04,136.97,136.84
4,b'Thunder Crotches',12,--hidden--,b'SuperCam That Ho',7,--hidden--,133.07,81.32,119.63,102.84
5,b'Thunder Crotches',12,--hidden--,b'The fishingtons',8,--hidden--,123.14,130.32,129.51,151.02
6,b'Thunder Crotches',12,--hidden--,b'The Scientist',9,--hidden--,112.81,83.62,114.02,99.06
7,b'Thunder Crotches',12,--hidden--,b'The Twelve Apostles',10,--hidden--,112.54,115.56,134.85,121.54
8,b'Thunder Crotches',12,--hidden--,b'Thug Bungalow',11,--hidden--,101.06,125.9,116.47,99.38
9,b'Thunder Crotches',12,--hidden--,b'who invited canada',14,--hidden--,108.79,83.68,108.85,144.04
10,b'Thunder Crotches',12,--hidden--,"b""We're Back""",13,--hidden--,103.93,116.78,122.25,139.3
11,b'Thunder Crotches',12,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,113.29,125.56,142.64,129.08
12,b'Thunder Crotches',12,--hidden--,b'Immortal Duffmen',2,--hidden--,106.2,86.18,124.93,94.84
13,b'Thunder Crotches',12,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,112.68,105.4,133.25,107.22
1,"b""We're Back""",13,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,143.49,144.54,136.83,142.7
2,"b""We're Back""",13,--hidden--,"b""John Brown's Army""",4,--hidden--,144.74,103.52,141.51,173.62
3,"b""We're Back""",13,--hidden--,b'Saquon These Nuts',5,--hidden--,128.46,150.42,143.81,136.04
4,"b""We're Back""",13,--hidden--,b'Starr is Born',6,--hidden--,133.64,133.98,132.51,132.44
5,"b""We're Back""",13,--hidden--,b'SuperCam That Ho',7,--hidden--,131.16,150.2,119.27,135.64
6,"b""We're Back""",13,--hidden--,b'The fishingtons',8,--hidden--,146.27,119.92,131.25,125.82
