week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,inverse_matchup
9,b'Thunder Crotches',12,Jake,b'who invited canada',14,Peter,108.79,83.68,108.85,144.04,0
9,b'who invited canada',14,Peter,b'Thunder Crotches',12,Jake,108.85,144.04,108.79,83.68,1
10,b'The Ice Cold Bruschi',1,Ricky,b'Thug Bungalow',11,Mike,142.54,109.42,135.29,168.12,0
10,b'Thug Bungalow',11,Mike,b'The Ice Cold Bruschi',1,Ricky,135.29,168.12,142.54,109.42,1
10,b'Immortal Duffmen',2,PD,b'The Twelve Apostles',10,Matt Jones,119.13,91.78,137.41,152.48,0
10,b'The Twelve Apostles',10,Matt Jones,b'Immortal Duffmen',2,PD,137.41,152.48,119.13,91.78,1
10,"b""Jadeveon's Hit Men""",3,Tim,b'The Scientist',9,Kyle,124.37,136.52,129.0,127.18,0
10,b'The Scientist',9,Kyle,"b""Jadeveon's Hit Men""",3,Tim,129.0,127.18,124.37,136.52,1
10,"b""John Brown's Army""",4,Eric,b'The fishingtons',8,mike,149.37,136.84,110.88,110.22,0
10,b'The fishingtons',8,mike,"b""John Brown's Army""",4,Eric,110.88,110.22,149.37,136.84,1
10,b'Saquon These Nuts',5,matt,b'SuperCam That Ho',7,Lauren,98.48,87.38,116.72,144.72,0
10,b'SuperCam That Ho',7,Lauren,b'Saquon These Nuts',5,matt,116.72,144.72,98.48,87.38,1
10,b'Starr is Born',6,Nick,b'who invited canada',14,Peter,119.76,107.14,113.7,90.86,0
10,b'who invited canada',14,Peter,b'Starr is Born',6,Nick,113.7,90.86,119.76,107.14,1
10,b'Thunder Crotches',12,Jake,"b""We're Back""",13,Nate,103.93,116.78,122.25,139.3,0
10,"b""We're Back""",13,Nate,b'Thunder Crotches',12,Jake,122.25,139.3,103.93,116.78,1
11,b'The Ice Cold Bruschi',1,Ricky,b'Thunder Crotches',12,Jake,142.64,129.08,113.29,125.56,0
11,b'Thunder Crotches',12,Jake,b'The Ice Cold Bruschi',1,Ricky,113.29,125.56,142.64,129.08,1
11,b'Immortal Duffmen',2,PD,b'Thug Bungalow',11,Mike,131.66,126.74,131.38,118.96,0
11,b'Thug Bungalow',11,Mike,b'Immortal Duffmen',2,PD,131.38,118.96,131.66,126.74,1
11,"b""Jadeveon's Hit Men""",3,Tim,b'The Twelve Apostles',10,Matt Jones,135.75,91.36,95.7,112.62,0
11,b'The Twelve Apostles',10,Matt Jones,"b""Jadeveon's Hit Men""",3,Tim,95.7,112.62,135.75,91.36,1
11,"b""John Brown's Army""",4,Eric,b'The Scientist',9,Kyle,146.26,130.78,118.18,143.82,0
11,b'The Scientist',9,Kyle,"b""John Brown's Army""",4,Eric,118.18,143.82,146.26,130.78,1
11,b'Saquon These Nuts',5,matt,b'The fishingtons',8,mike,122.02,83.94,120.5,172.54,0
11,b'The fishingtons',8,mike,b'Saquon These Nuts',5,matt,120.5,172.54,122.02,83.94,1
11,b'Starr is Born',6,Nick,b'SuperCam That Ho',7,Lauren,129.47,124.84,131.56,88.86,0
11,b'SuperCam That Ho',7,Lauren,b'Starr is Born',6,Nick,131.56,88.86,129.47,124.84,1
11,"b""We're Back""",13,Nate,b'who invited canada',14,Peter,128.61,143.76,114.29,86.98,0
11,b'who invited canada',14,Peter,"b""We're Back""",13,Nate,114.29,86.98,128.61,143.76,1
12,b'The Ice Cold Bruschi',1,Ricky,"b""We're Back""",13,Nate,148.38,177.96,123.12,126.58,0
12,"b""We're Back""",13,Nate,b'The Ice Cold Bruschi',1,Ricky,123.12,126.58,148.38,177.96,1
12,b'Immortal Duffmen',2,PD,b'Thunder Crotches',12,Jake,124.93,94.84,106.2,86.18,0
12,b'Thunder Crotches',12,Jake,b'Immortal Duffmen',2,PD,106.2,86.18,124.93,94.84,1
12,"b""Jadeveon's Hit Men""",3,Tim,b'Thug Bungalow',11,Mike,136.0,141.02,133.02,120.44,0
12,b'Thug Bungalow',11,Mike,"b""Jadeveon's Hit Men""",3,Tim,133.02,120.44,136.0,141.02,1
12,"b""John Brown's Army""",4,Eric,b'The Twelve Apostles',10,Matt Jones,129.02,101.5,142.86,103.5,0
12,b'The Twelve Apostles',10,Matt Jones,"b""John Brown's Army""",4,Eric,142.86,103.5,129.02,101.5,1
12,b'Saquon These Nuts',5,matt,b'The Scientist',9,Kyle,117.68,107.5,125.97,86.84,0
12,b'The Scientist',9,Kyle,b'Saquon These Nuts',5,matt,125.97,86.84,117.68,107.5,1
12,b'Starr is Born',6,Nick,b'The fishingtons',8,mike,123.28,148.16,131.13,161.86,0
12,b'The fishingtons',8,mike,b'Starr is Born',6,Nick,131.13,161.86,123.28,148.16,1
12,b'SuperCam That Ho',7,Lauren,b'who invited canada',14,Peter,104.06,102.52,114.76,81.78,0
12,b'who invited canada',14,Peter,b'SuperCam That Ho',7,Lauren,114.76,81.78,104.06,102.52,1
13,b'The Ice Cold Bruschi',1,Ricky,b'who invited canada',14,Peter,148.33,149.3,117.43,123.52,0
13,b'who invited canada',14,Peter,b'The Ice Cold Bruschi',1,Ricky,117.43,123.52,148.33,149.3,1
13,b'Immortal Duffmen',2,PD,"b""We're Back""",13,Nate,108.62,121.68,154.9,124.54,0
13,"b""We're Back""",13,Nate,b'Immortal Duffmen',2,PD,154.9,124.54,108.62,121.68,1
13,"b""Jadeveon's Hit Men""",3,Tim,b'Thunder Crotches',12,Jake,133.25,107.22,112.68,105.4,0
13,b'Thunder Crotches',12,Jake,"b""Jadeveon's Hit Men""",3,Tim,112.68,105.4,133.25,107.22,1
13,"b""John Brown's Army""",4,Eric,b'Thug Bungalow',11,Mike,145.52,131.1,140.58,155.9,0
13,b'Thug Bungalow',11,Mike,"b""John Brown's Army""",4,Eric,140.58,155.9,145.52,131.1,1
13,b'Saquon These Nuts',5,matt,b'The Twelve Apostles',10,Matt Jones,127.92,93.54,138.42,116.3,0
13,b'The Twelve Apostles',10,Matt Jones,b'Saquon These Nuts',5,matt,138.42,116.3,127.92,93.54,1
13,b'Starr is Born',6,Nick,b'The Scientist',9,Kyle,135.85,114.26,136.6,102.06,0
13,b'The Scientist',9,Kyle,b'Starr is Born',6,Nick,136.6,102.06,135.85,114.26,1
13,b'SuperCam That Ho',7,Lauren,b'The fishingtons',8,mike,109.43,115.1,124.04,145.08,0
13,b'The fishingtons',8,mike,b'SuperCam That Ho',7,Lauren,124.04,145.08,109.43,115.1,1
14,b'Immortal Duffmen',2,PD,b'SuperCam That Ho',7,Lauren,130.79,118.22,116.85,107.16,0
14,b'SuperCam That Ho',7,Lauren,b'Immortal Duffmen',2,PD,116.85,107.16,130.79,118.22,1
14,"b""John Brown's Army""",4,Eric,b'Starr is Born',6,Nick,132.7,110.62,133.6,123.24,0
14,b'Starr is Born',6,Nick,"b""John Brown's Army""",4,Eric,133.6,123.24,132.7,110.62,1
14,b'The fishingtons',8,mike,"b""We're Back""",13,Nate,139.19,136.2,150.06,124.48,0
14,"b""We're Back""",13,Nate,b'The fishingtons',8,mike,150.06,124.48,139.19,136.2,1
14,b'The Scientist',9,Kyle,b'Thug Bungalow',11,Mike,124.3,114.36,138.4,122.1,0
14,b'Thug Bungalow',11,Mike,b'The Scientist',9,Kyle,138.4,122.1,124.3,114.36,1
15,b'The Ice Cold Bruschi',1,Ricky,b'Thug Bungalow',11,Mike,150.18,168.98,141.77,106.74,0
